movieId,genres,title
1,Adventure|Animation|Children|Comedy|Fantasy,Toy Story (1995)
2,Adventure|Children|Fantasy,Jumanji (1995)
3,Comedy|Romance,Grumpier Old Men (1995)
4,Comedy|Drama|Romance,Waiting to Exhale (1995)
5,Comedy,Father of the Bride Part II (1995)
6,Action|Crime|Thriller,Heat (1995)
7,Comedy|Romance,Sabrina (1995)
8,Adventure|Children,Tom and Huck (1995)
9,Action,Sudden Death (1995)
10,Action|Adventure|Thriller,GoldenEye (1995)
11,Comedy|Drama|Romance,The American President (1995)
12,Comedy|Horror,Dracula: Dead and Loving It (1995)
13,Adventure|Animation|Children,Balto (1995)
14,Drama,Nixon (1995)
15,Action|Adventure|Romance,Cutthroat Island (1995)
16,Crime|Drama,Casino (1995)
17,Drama|Romance,Sense and Sensibility (1995)
18,Comedy,Four Rooms (1995)
19,Comedy,Ace Ventura: When Nature Calls (1995)
20,Action|Comedy|Crime|Drama|Thriller,Money Train (1995)
21,Comedy|Crime|Thriller,Get Shorty (1995)
22,Crime|Drama|Horror|Mystery|Thriller,Copycat (1995)
23,Action|Crime|Thriller,Assassins (1995)
24,Drama|Sci-Fi,Powder (1995)
25,Drama|Romance,Leaving Las Vegas (1995)
26,Drama,Othello (1995)
27,Children|Drama,Now and Then (1995)
28,Drama|Romance,Persuasion (1995)
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
30,Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,Drama,Dangerous Minds (1995)
32,Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
34,Children|Drama,Babe (1995)
36,Crime|Drama,Dead Man Walking (1995)
38,Children|Comedy,It Takes Two (1995)
39,Comedy|Romance,Clueless (1995)
40,Drama,"Cry, the Beloved Country (1995)"
41,Drama|War,Richard III (1995)
42,Action|Crime|Drama,Dead Presidents (1995)
43,Drama,Restoration (1995)
44,Action|Adventure|Fantasy,Mortal Kombat (1995)
45,Comedy|Drama|Thriller,To Die For (1995)
46,Drama|Romance,How to Make an American Quilt (1995)
47,Mystery|Thriller,Seven (a.k.a. Se7en) (1995)
48,Animation|Children|Drama|Musical|Romance,Pocahontas (1995)
49,Drama|Romance,When Night Is Falling (1995)
50,Crime|Mystery|Thriller,The Usual Suspects (1995)
52,Comedy|Drama|Romance,Mighty Aphrodite (1995)
53,Adventure|Drama,Lamerica (1994)
54,Children|Comedy,The Big Green (1995)
55,Drama,Georgia (1995)
57,Drama,Home for the Holidays (1995)
58,Comedy|Drama|Romance,"Postman, The (Postino, Il) (1994)"
60,Adventure|Children|Fantasy,The Indian in the Cupboard (1995)
61,Drama|Thriller,Eye for an Eye (1996)
62,Drama,Mr. Holland's Opus (1995)
63,Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
64,Comedy|Romance,Two if by Sea (1996)
65,Comedy,Bio-Dome (1996)
66,Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace (1996)
68,Comedy|Romance,French Twist (Gazon maudit) (1995)
69,Comedy,Friday (1995)
70,Action|Comedy|Horror|Thriller,From Dusk Till Dawn (1996)
71,Action,Fair Game (1995)
72,Comedy|Drama,Kicking and Screaming (1995)
73,Drama|War,"Misérables, Les (1995)"
74,Drama|Romance,Bed of Roses (1996)
75,Comedy|Drama,Big Bully (1996)
76,Action|Sci-Fi|Thriller,Screamers (1995)
77,Documentary,Nico Icon (1995)
78,Action|Crime|Drama|Thriller,The Crossing Guard (1995)
79,Drama|Thriller,The Juror (1996)
80,Children|Drama,"White Balloon, The (Badkonake sefid) (1995)"
81,Crime|Drama|Romance,Things to Do in Denver When You're Dead (1995)
82,Comedy|Drama,Antonia's Line (Antonia) (1995)
83,Drama|Romance,Once Upon a Time... When We Were Colored (1995)
85,Drama|Romance,Angels and Insects (1995)
86,Action|Adventure|Drama,White Squall (1996)
87,Children|Comedy,Dunston Checks In (1996)
88,Comedy,Black Sheep (1996)
89,Action|Thriller,Nick of Time (1995)
92,Drama|Horror|Thriller,Mary Reilly (1996)
93,Comedy|Horror|Romance,Vampire in Brooklyn (1995)
94,Comedy|Drama|Romance,Beautiful Girls (1996)
95,Action|Adventure|Thriller,Broken Arrow (1996)
96,Comedy|Drama,In the Bleak Midwinter (1995)
97,Crime|Drama,"Hate (Haine, La) (1995)"
99,Documentary,Heidi Fleiss: Hollywood Madam (1995)
100,Drama|Thriller,City Hall (1996)
101,Adventure|Comedy|Crime|Romance,Bottle Rocket (1996)
102,Comedy,Mr. Wrong (1996)
103,Mystery|Sci-Fi|Thriller,Unforgettable (1996)
104,Comedy,Happy Gilmore (1996)
105,Drama|Romance,The Bridges of Madison County (1995)
106,Comedy|Drama,Nobody Loves Me (Keiner liebt mich) (1994)
107,Adventure|Children|Comedy|Musical,Muppet Treasure Island (1996)
108,Documentary,Catwalk (1996)
110,Action|Drama|War,Braveheart (1995)
111,Crime|Drama|Thriller,Taxi Driver (1976)
112,Action|Adventure|Comedy|Crime,Rumble in the Bronx (Hont faan kui) (1995)
113,Drama|Mystery,Before and After (1996)
116,Documentary,Anne Frank Remembered (1995)
117,Crime|Drama,The Young Poisoner's Handbook (1995)
118,Comedy|Romance,If Lucy Fell (1996)
119,Comedy,"Steal Big, Steal Little (1995)"
121,Drama,The Boys of St. Vincent (1992)
122,Comedy|Romance,Boomerang (1992)
123,Drama|Mystery|Romance,Chungking Express (Chung Hing sam lam) (1994)
125,Comedy,Flirting With Disaster (1996)
126,Adventure|Children|Fantasy,The NeverEnding Story III (1994)
128,Documentary,Jupiter's Wife (1994)
129,Comedy|Romance,Pie in the Sky (1996)
132,Thriller,Jade (1995)
135,Comedy,Down Periscope (1996)
137,Documentary,Man of the Year (1995)
140,Drama|Romance,Up Close and Personal (1996)
141,Comedy,The Birdcage (1996)
144,Comedy,The Brothers McMullen (1995)
145,Action|Comedy|Crime|Drama|Thriller,Bad Boys (1995)
146,Adventure|Children,The Amazing Panda Adventure (1995)
147,Drama,The Basketball Diaries (1995)
148,Drama,An Awfully Big Adventure (1995)
149,Crime|Drama|Thriller,Amateur (1994)
150,Adventure|Drama|IMAX,Apollo 13 (1995)
151,Action|Drama|Romance|War,Rob Roy (1995)
152,Drama|Horror,The Addiction (1995)
153,Action|Adventure|Comedy|Crime,Batman Forever (1995)
154,Drama,Beauty of the Day (Belle de jour) (1967)
155,Adventure|Drama|War,Beyond Rangoon (1995)
156,Comedy|Drama,Blue in the Face (1995)
157,Comedy|War,Canadian Bacon (1995)
158,Adventure|Children,Casper (1995)
159,Crime|Drama|Mystery,Clockers (1995)
160,Action|Adventure|Mystery|Sci-Fi,Congo (1995)
161,Drama|Thriller|War,Crimson Tide (1995)
162,Documentary,Crumb (1994)
163,Action|Romance|Western,Desperado (1995)
164,Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress (1995)
165,Action|Crime|Thriller,Die Hard: With a Vengeance (1995)
166,Comedy|Crime|Drama,The Doom Generation (1995)
168,Action|Drama|Romance,First Knight (1995)
169,Adventure|Children|Drama,Free Willy 2: The Adventure Home (1995)
170,Action|Adventure|Crime|Thriller,Hackers (1995)
171,Comedy|Drama,Jeffrey (1995)
172,Action|Sci-Fi|Thriller,Johnny Mnemonic (1995)
173,Action|Crime|Sci-Fi,Judge Dredd (1995)
174,Comedy,Jury Duty (1995)
175,Drama,Kids (1995)
176,Comedy,Living in Oblivion (1995)
177,Horror,Lord of Illusions (1995)
178,Comedy|Drama,Love & Human Remains (1993)
179,Drama|Romance,Mad Love (1995)
180,Comedy|Romance,Mallrats (1995)
181,Action|Children,Mighty Morphin Power Rangers: The Movie (1995)
183,Comedy|Horror|Thriller,Mute Witness (1994)
184,Drama,Nadja (1994)
185,Action|Crime|Thriller,The Net (1995)
186,Comedy|Romance,Nine Months (1995)
187,Comedy,Party Girl (1995)
188,Fantasy|Horror|Mystery,The Prophecy (1995)
189,Comedy|Fantasy,Reckless (1995)
190,Thriller,Safe (1995)
191,Drama|Romance,The Scarlet Letter (1995)
193,Drama,Showgirls (1995)
194,Comedy|Drama,Smoke (1995)
195,Comedy|Drama|Romance,Something to Talk About (1995)
196,Horror|Sci-Fi,Species (1995)
198,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Strange Days (1995)
199,Drama|Musical|Romance,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
201,Drama|Fantasy,Three Wishes (1995)
202,Drama|Romance,Total Eclipse (1995)
203,Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
204,Action,Under Siege 2: Dark Territory (1995)
205,Comedy|Drama,Unstrung Heroes (1995)
206,Documentary,Unzipped (1995)
207,Drama|Romance,A Walk in the Clouds (1995)
208,Action|Adventure|Sci-Fi,Waterworld (1995)
209,Drama,White Man's Burden (1995)
210,Western,Wild Bill (1995)
211,Drama,The Browning Version (1994)
212,Adventure|Comedy|Crime|Mystery,Bushwhacked (1995)
213,Drama,Burnt by the Sun (Utomlyonnye solntsem) (1994)
214,Drama|War,Before the Rain (Pred dozhdot) (1994)
215,Drama|Romance,Before Sunrise (1995)
216,Comedy,Billy Madison (1995)
217,Drama|Thriller,The Babysitter (1995)
218,Comedy|Drama,Boys on the Side (1995)
219,Drama,The Cure (1995)
220,Horror,Castle Freak (1995)
222,Drama|Romance,Circle of Friends (1995)
223,Comedy,Clerks (1994)
224,Comedy|Drama|Romance,Don Juan DeMarco (1995)
225,Drama|Thriller,Disclosure (1994)
227,Action|Thriller,Drop Zone (1994)
228,Comedy,Destiny Turns on the Radio (1995)
229,Drama|Thriller,Death and the Maiden (1994)
230,Drama|Thriller,Dolores Claiborne (1995)
231,Adventure|Comedy,Dumb & Dumber (Dumb and Dumber) (1994)
232,Comedy|Drama|Romance,Eat Drink Man Woman (Yin shi nan nu) (1994)
233,Drama,Exotica (1994)
234,Comedy,Exit to Eden (1994)
235,Comedy|Drama,Ed Wood (1994)
236,Action|Comedy|Romance,French Kiss (1995)
237,Comedy|Romance,Forget Paris (1995)
238,Adventure|Children,Far From Home: The Adventures of Yellow Dog (1995)
239,Animation|Children|Comedy|Romance,A Goofy Movie (1995)
240,Thriller,Hideaway (1995)
241,Children|Drama,Fluke (1995)
242,Drama|Musical,Farinelli: il castrato (1994)
243,Children|Comedy|Fantasy,Gordy (1995)
246,Documentary,Hoop Dreams (1994)
247,Crime|Drama,Heavenly Creatures (1994)
248,Comedy,Houseguest (1994)
249,Drama|Romance,Immortal Beloved (1994)
250,Children|Comedy,Heavyweights (Heavy Weights) (1995)
251,Action,The Hunted (1995)
252,Comedy|Romance,I.Q. (1994)
253,Drama|Horror,Interview with the Vampire: The Vampire Chronicles (1994)
254,Drama,Jefferson in Paris (1995)
255,Comedy,The Jerky Boys (1995)
256,Comedy|Sci-Fi,Junior (1994)
257,Mystery|Thriller,Just Cause (1995)
258,Adventure|Children|Comedy|Fantasy|Romance,A Kid in King Arthur's Court (1995)
259,Crime|Drama|Thriller,Kiss of Death (1995)
260,Action|Adventure|Sci-Fi,Star Wars: Episode IV - A New Hope (1977)
261,Drama,Little Women (1994)
262,Children|Drama,A Little Princess (1995)
263,Drama,Ladybird Ladybird (1994)
265,Drama|Fantasy|Romance,Like Water for Chocolate (Como agua para chocolate) (1992)
266,Drama|Romance|War|Western,Legends of the Fall (1994)
267,Comedy,Major Payne (1995)
269,Drama,My Crazy Life (Mi vida loca) (1993)
270,Drama|Romance,Love Affair (1994)
271,Drama,Losing Isaiah (1995)
272,Comedy|Drama,The Madness of King George (1994)
273,Drama|Horror|Sci-Fi,Mary Shelley's Frankenstein (Frankenstein) (1994)
274,Comedy,Man of the House (1995)
275,Comedy,Mixed Nuts (1994)
276,Comedy|Romance,Milk Money (1994)
277,Drama,Miracle on 34th Street (1994)
278,Comedy,Miami Rhapsody (1995)
279,Drama,My Family (1995)
280,Drama|Thriller,Murder in the First (1995)
281,Comedy|Drama|Romance,Nobody's Fool (1994)
282,Drama,Nell (1994)
283,Crime|Drama,New Jersey Drive (1995)
284,Action|Crime,New York Cop (Nyû Yôku no koppu) (1993)
285,Drama|Horror,Beyond Bedlam (1993)
287,Comedy|Romance,Nina Takes a Lover (1994)
288,Action|Crime|Thriller,Natural Born Killers (1994)
289,Comedy|Romance,Only You (1994)
290,Crime|Drama,Once Were Warriors (1994)
291,Drama|Thriller,Poison Ivy II (1996)
292,Action|Drama|Sci-Fi|Thriller,Outbreak (1995)
293,Action|Crime|Drama|Thriller,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
294,Comedy|Romance,The Perez Family (1995)
295,Comedy|Romance,A Pyromaniac's Love Story (1995)
296,Comedy|Crime|Drama|Thriller,Pulp Fiction (1994)
